Word,chr,value
lpqnva,6,82
yon,3,54
qvkuuryb,8,137
woiimlpuky,10,154
snr,3,51
vfgpabjkwg,10,105
jkbnwy,6,85
vgpo,4,60
cbfmbjbepk,10,70
nhlbpehjbe,10,82
egzvxku,7,116
wpclghgq,8,93
eptxlx,6,101
jyd,3,39
grsieoglu,9,113
cvhyj,5,68
lrlsb,5,63
oxcbxhe,7,81
ypwsrvlhl,9,155
zllxqc,6,94
gwuf,4,57
gysajtyq,8,124
jwoo,4,63
yfes,4,55
taspsxyh,8,132
syrtzo,6,123
oulvjcegp,9,111
hcuaobcdd,9,61
tmb,3,35
osltwscg,8,118
jxwqhhkznw,10,164
gstomi,6,83
uxcu,4,69
cbhfarogwc,10,86
jztusfj,7,112
vntj,4,66
ujywti,6,108
ydpwwzomen,10,164
oibpzfxls,9,129
rpjm,4,57
qmtt,4,70
oqxymaylw,9,155
omrlp,5,74
jboec,5,35
inkecb,6,44
gphzpzedc,9,111
hmtrwyfl,8,125
ymjktfqz,8,128
ueuhtbbsy,9,123
zmkvguyq,8,142
lnkdx,5,65
ptdpiob,7,82
iqdomq,6,75
ubbr,4,43
pnllk,5,65
usmr,4,71
irc,3,30
vmeggr,6,72
ynq,3,56
ucxrts,6,105
cuusmovr,8,132
vhjkwlbf,8,94
oou,3,51
vqqybvmweo,10,161
givvovcpi,9,125
tyuggmzl,8,131
pmspj,5,74
qfpenqoei,9,104
wcsrpwpvl,9,152
amfofb,6,43
befzvyi,7,95
sobmtartc,9,111
zbctfqmq,8,104
kbx,3,37
yxfkdzhv,8,126
gpxsbgqv,8,114
aiyjced,7,57
xxmdgo,6,87
kayrdyhgwk,10,133
yhwgdb,6,69
pjc,3,29
foxtctf,7,94
bitq,4,48
yaim,4,48
ofjq,4,48
vuimzxeu,8,141
acfxcoka,8,64
enyeiqlv,8,109
axbdeg,6,43
rkfvzmqf,8,119
vwyherfg,8,114
mfdn,4,37
nmrkiofm,8,99
nmr,3,45
gmdojvepw,9,115
svhgdcamj,9,87
sslsevma,8,110
tzlebid,7,78
hfqj,4,41
newr,4,60
xyexdillsu,10,155
howo,4,61
omyawez,7,108
pyypbd,6,88
shpx,4,67
njquitgu,8,119
rhtgnzbu,8,116
zcnrzftajw,10,147
wsazapp,7,102
izsntb,6,90
yncmbffkj,9,90
xlg,3,43
mndvjmddx,9,108
nczkejw,7,92
qix,3,50
jaapmo,6,56
jndslky,7,95
dnnitv,6,83
mvjlq,5,74
wlpedbhm,8,83
reetkdvmt,9,118
oklptbjn,8,100
hreyv,5,78
tqspslygr,9,153
jitpkfmkg,9,103
olqqyj,6,96
lamiqj,6,62
kdbcxuok,8,91
pwo,3,54
optnxpvwy,9,175
yjmmnzd,7,105
mzxjkx,6,108
pjg,3,33
apbxgz,6,76
bqfi,4,34
bytbwwy,7,120
lwgilgy,7,95
iyvvdxkiy,9,151
uiuyxvnd,8,140
nspl,4,61
fgzq,4,56
fhgknft,7,72
yxzz,4,101
xcfrljeccp,10,100
mffof,5,46
duke,4,41
oflfw,5,62
jgvv,4,61
rynlinf,7,98
fvobvxrh,8,117
dmvtudlkwd,10,134
ojhlahpumb,10,106
mnvxo,5,88
kqtvjmco,8,111
rvehodkyr,9,126
zomxwoz,7,142
hbexjz,6,75
cotuzmladm,10,128
taafboa,7,46
ivo,3,46
boslcefgd,9,73
odtnmtzyk,9,148
ehlvmgk,7,78
gonlqbrf,8,91
kuvhyyrxz,9,180
gbgrck,6,48
pocva,5,57
zaqmgyufi,9,125
azuxgydo,8,123
nddg,4,29
piqob,5,59
ccjwrfqup,9,117
flppfyrb,8,101
qktzmnu,7,122
sgma,4,40
phml,4,49
wqip,4,65
oeh,3,28
ovqcqh,6,82
qgptbswfat,10,131
feydsfa,7,66
cweka,5,43
ajpvonksh,9,116
unsl,4,66
ghryijnaf,9,98
wosalmkzi,9,129
llghhkj,7,68
bvk,3,35
jsxx,4,77
fyjympg,7,102
wbxwjskq,8,129
psllwuy,7,128
hsajrenwqu,10,136
lszal,5,70
hkqxtd,6,84
deyfjz,6,76
mclf,4,34
dnitwr,6,88
bvuip,5,70
cusfbkayfc,10,97
gttoywrp,8,144
cgv,3,32
nmctmzhi,8,106
bkpuarpjc,9,98
mfuafqnqpq,10,128
bhafe,5,22
sgg,3,33
qcrscneh,8,87
idqecckbxp,10,94
iwwqhxpm,8,133
hreyogzscs,10,145
jsfd,4,39
tbrnpu,6,91
ftxuvb,6,95
bsww,4,67
txqw,4,84
usvxrwcv,8,152
uayzezbfza,10,139
iygf,4,47
bcxlmeq,7,76
ucdqupufkw,10,143
rry,3,61
jbxjqoo,7,93
fue,3,32
vdjbpsuo,8,109
xylmqz,6,117
ofkoahi,7,65
vztjb,5,80
lecuzgbleq,10,110
aweegg,6,48
mwtmzkvf,8,134
zfsx,4,75
gftkrz,6,88
zwiavtg,7,108
jsjxu,5,84
fmaomfwjkf,10,104
xytzyvunao,10,193
wtwo,4,81
leinhurjj,9,107
sniq,4,59
nmjvtnjm,8,116
bheuib,6,47
kcoe,4,34
biyfqmypjk,10,134
wqq,3,57
ppvtiweti,9,140
gmu,3,41
yqdznllfow,10,154
jvuwpc,6,95
hnoqceafhm,10,90
eywjlhm,7,96
rmagi,5,48
wpdahl,6,64
obcujhwgdv,10,115
qjenoo,6,76
dwqk,4,55
kucxtr,6,97
bdysyhifd,9,102
vyidi,5,69
bqgap,5,43
buatraaf,8,70
uwagdsdy,8,104
bswiobyhz,9,129
samkebpa,8,68
ilmk,4,45
soq,3,51
cbyt,4,50
fdzljc,6,61
gve,3,34
gchbsjkxy,9,109
sqqrrsuf,8,135
xzzd,4,80
pfycmyw,7,111
kdstwgdsqi,10,133
ghmvavgljc,10,105
fboprky,7,93
jfavsuj,7,89
vhywprc,7,115
upzkb,5,76
ylwt,4,80
zefobcr,7,75
xir,3,51
ufy,3,52
ksvhwk,6,94
lapgkucs,8,90
nygzjkvbox,10,156
ubk,3,34
yajuvobjgx,10,137
mijrzuoxl,9,148
iob,3,26
qdbuyshg,8,103
gqmvdrg,7,88
znwamb,6,79
amzau,5,62
wrczxshubw,10,167
tbnoih,6,68
gxasxhodsr,10,139
omdtfiwv,8,112
ilcqyxii,8,108
xqmetadrv,9,124
pssb,4,56
iwsfaflwcc,10,105
kuichkoa,8,79
xjnreqceu,9,117
omilmdv,7,88
fdjebw,6,50
fuubnc,6,67
ptsjcmkcov,10,132
bqa,3,20
efsvugklrj,10,131
zxlqoypv,8,157
ymntb,5,74
rvhver,6,93
fpejeqqbd,9,82
iplzi,5,72
uginld,6,67
ffps,4,47
lelzvaatjq,10,126
wvou,4,81
voqrb,5,74
henffu,6,60
aguasfvyxd,10,130
ondgjtn,7,84
rfcnhpgoyw,10,135
opxv,4,77
oaldaihabh,10,61
lokjksj,7,88
igvqbhnpcl,10,110
fkqkp,5,61
ebbo,4,24
nfl,3,32
guwejk,6,77
ebjsnenqe,9,91
qona,4,47
qxplykfig,9,127
ujmezqvs,8,133
kclb,4,28
ppyy,4,82
mscrrofzxh,10,150
yldamk,6,66
gdvpxqahxr,10,141
vidgjdbkrf,10,93
bllptyw,7,110
oxtmy,5,97
meh,3,26
ehehrh,6,52
mxlphr,6,91
uthovwplwd,10,164
oawuzv,6,108
wrd,3,45
llzv,4,72
yxt,3,69
dgwka,5,46
nju,3,45
wed,3,32
bjcik,5,35
adwtmwibp,9,111
jdulzoclx,9,127
pcy,3,44
dwsqsibx,8,117
byfbjyovnu,10,142
tutiod,6,89
qcwlsyt,7,119
evehojr,7,83
qllw,4,64
mbgfqox,7,84
lhmrw,5,74
gburyr,6,91
gnvqink,7,94
aey,3,31
zpzswono,8,154
tsv,3,61
kadagkuth,9,84
wbguupaqrm,10,139
nksafwzh,8,108
xpjqebnixh,10,129
wzdszaavz,9,148
xcqqih,6,78
fxi,3,39
pzhn,4,64
naq,3,32
bpitgvppc,9,111
vro,3,55
lere,4,40
dmirkyf,7,86
fqd,3,27
fkyc,4,45
sapovhvml,9,128
gpdmnuodnj,10,118
evsbfkfcia,10,84
veppwfee,8,98
ubp,3,39
rmggluqfj,9,111
twaywb,6,94
tanqqx,6,93
qepxshtn,8,123
bvdxnyuo,8,127
scyf,4,53
ltgpuby,7,103
wcwikdmm,8,99
kavnnll,7,86
pbqp,4,51
kzg,3,44
ymjbfslxfu,10,138
nud,3,39
kwd,3,38
ohyqxcs,7,111
ajowtc,6,72
alvt,4,55
edoqale,7,59
tzfbfvx,7,106
mrel,4,48
cgwo,4,48
bgspetiz,8,104
yyicnuikg,9,124
dql,3,33
vvgvd,5,77
adgm,4,25
kzmbhgxpd,9,111
nasaa,5,36
son,3,48
ubeimiz,7,85
ptqhaevkhv,10,130
mkfj,4,40
pxgtaao,7,84
nxby,4,65
hrnhc,5,51
ijhsa,5,47
ompzceat,8,99
udh,3,33
vrvx,4,86
lvp,3,50
kqyibcdcw,9,97
kiambdxw,8,87
gmvtpnnxd,9,134
ntwtjd,6,91
yluftpx,7,124
hknnskh,7,85
nbarsvqkag,10,112
ukyu,4,78
dxlmt,5,73
tjguw,5,81
ohabvi,6,57
crikobh,7,66
vgjnzjrbiq,10,135
tfayege,7,69
fjlzusl,7,106
yqga,4,50
mhqclw,6,76
xouse,5,84
yfmjs,5,73
zyrba,5,72
fuyjzer,7,111
rnrzkejwp,9,141
ykntmlvpx,9,157
qcaoky,6,72
tnol,4,61
qgsgzpmru,9,144
ewqnksvomd,10,143
odpt,4,55
jxvd,4,60
qbpwdgxwj,9,126
jxuygi,6,96
vinme,5,63
lipt,4,57
sbquxmujom,10,155
olyua,5,74
cbmwd,5,45
vrbhntvmyk,10,155
zeaef,5,43
scfycjyb,8,93
svc,3,44
rsnmscaoy,9,127
ozvkuswh,8,145
grjq,4,52
dwnsc,5,63
ffh,3,20
pcnxynxxzh,10,178
oztslw,6,115
wwdtpcyj,8,124
zuci,4,59
pynh,4,63
kkzuzp,6,111
acnlza,6,57
dhrzwscscg,10,130
ewuyzc,6,103
uzysqtqfnl,10,177
ntnsuns,7,121
wknqm,5,78
jxjf,4,50
lchabbnciu,10,75
xopkyx,6,115
vrehban,7,70
ewdm,4,45
vsackx,6,80
dulpibhgse,10,103
cgvqk,5,60
gorrtc,6,81
scnsfg,6,68
hqmmluka,8,96
qjdjd,5,45
psps,4,70
dyuuxq,6,112
ouifg,5,58
knulfhqb,8,91
sxmajfop,8,104
hoqwzkqpzg,10,166
uedmhp,6,67
zdocxurm,8,124
tlblduft,8,97
dkkgoreihm,10,101
wszqf,5,91
wttitsevnm,10,165
olgvxwj,7,113
jkgngmff,8,74
ohcxdbde,8,65
gbqkqmt,7,87
bjbqw,5,54
kyyq,4,78
gshkmje,7,73
hrf,3,32
enbrwzr,7,106
edkwc,5,46
cqhzrvxyli,10,164
jhe,3,23
hvzdxjkhwg,10,143
ncketvq,7,92
goos,4,56
rkpahnx,7,92
msvvej,6,91
mlx,3,49
gevekc,6,53
flwe,4,46
mcxy,4,65
evv,3,49
oxmf,4,58
qhjadjp,7,66
kaw,3,35
jzaskbg,7,76
stpptpnnyp,10,176
dsdfax,6,58
rjiqpbfwcw,10,127
mbykeb,6,58
dxn,3,42
hezmeosv,8,113
hjsbnludca,10,94
mmio,4,50
igvhcaxvr,9,114
svthr,5,87
agyhlwqayn,10,133
ptebtkk,7,85
tyvsehpanv,10,152
pcclvdub,8,83
swbwjngw,8,121
akunewu,7,96
ynluhhvi,8,119
nyqoj,5,81
rxv,3,64
orp,3,49
yvufcr,6,95
lrkvusop,8,134
dkscfy,6,68
fvv,3,50
trhzrlm,7,115
zktltldyx,9,154
snvghw,6,93
bmcmphv,7,77
vsbaikyz,8,115
kyngfvtj,8,115
ricp,4,46
mtnfwgm,7,96
pyhzqzcg,8,128
ikiy,4,54
hvlccbbk,8,63
cqpmfc,6,58
zwvzd,5,101
coeab,5,26
hhznfy,6,87
smqacilkl,9,97
cpkz,4,56
hnqee,5,49
vyqetvg,7,118
uxfosjn,7,109
dulolonbb,9,97
mcvmsbnqsu,10,143
uwf,3,50
hwiescio,8,91
tssf,4,64
vdupbtf,7,91
mnvvsdyz,8,145
lbhtm,5,55
qozitjszu,9,163
bbziyta,7,85
qwtxdcivl,9,134
xojl,4,61
uuhkwiodou,10,148
txzj,4,80
dlspywlzw,9,160
aifmh,5,37
uzwpcqnfnm,10,153
pbpg,4,41
yxsu,4,89
gwb,3,32
tdo,3,39
ahvudysdt,9,124
jgk,3,28
unptigxn,8,125
wif,3,38
ulielm,6,72
bgqyjohft,9,110
fionxm,6,81
scdxo,5,65
kbmfmhavhi,10,93
gcgwqurem,9,114
aggpatiu,8,82
iviybv,6,89
ymdcxy,6,94
yhkbxcw,7,96
crxzgefbl,9,103
eolg,4,39
fkwqe,5,62
ybfglferj,9,91
hwc,3,34
ytp,3,61
hkizp,5,70
iuhz,4,64
okfmygc,7,80
rdemgkg,7,65
rcdnvuxe,8,111
rajzgrrpd,9,118
xzyvwzo,7,161
iby,3,36
chw,3,34
aettxap,7,87
wbllf,5,55
kftxvdfp,8,109
wwct,4,69
ktsq,4,67
sinykx,6,102
fwkz,4,66
jrjw,4,61
ombthjq,7,85
xxqoimhd,8,114
zzcyvejci,9,129
bqjcop,6,63
ijhzbrijky,10,128
cmv,3,38
qurlmwltzk,10,173
lgbe,4,26
bbrnaw,6,60
wfxxdbwpg,9,129
dtaoigxhi,9,97
rwflxbykl,9,133
kfuwffsj,8,102
jkskqnnpig,10,128
duxkkzmf,8,116
tsxttmkru,9,166
evckv,5,63
wzquicguzh,10,161
lvelpkrrmj,10,137
dsoesihpz,9,121
wujs,4,73
nonesb,6,69
bvckarriyz,10,135
glaklo,6,58
xrjvfeg,7,92
lmcdi,5,41
fzsdac,6,59
cdqulynuzj,10,153
iyprfeqf,8,102
dhptrpxs,8,125
tshpnzwwt,9,169
ffolqkzk,8,104
rudniaqo,8,99
phnoayw,7,102
itqzjtsvnz,10,183
vcmf,4,44
gwxz,4,80
hhpwzw,6,104
fehvrhsyl,9,123
qeabjxvi,8,90
jicgyvedxx,10,133
jtohqtfv,8,118
aesniqhbzl,10,113
bwbky,5,63
syvuobkbpx,10,157
gcnofew,7,73
slgb,4,40
durszahgbs,10,125
zbrk,4,57
tbk,3,33
foiie,5,44
ngeve,5,53
qdfle,5,44
faejdzv,7,74
xqmuyfqpy,9,164
rfrpt,5,78
mgplt,5,68
ukjagf,6,56
nyh,3,47
puiw,4,69
vblydqufg,9,116
jcmfx,5,56
gcrhvimp,8,96
umua,4,56
oewknni,7,91
cezktb,6,67
gfaischd,8,57
jrnrznmka,9,125
uupprwyx,8,164
amq,3,31
owql,4,67
ydjtr,5,77
bbq,3,21
jawb,4,36
ccm,3,19
xknx,4,73
ksgw,4,60
dvcigmvrox,10,137
ulqprppq,8,133
dctht,5,55
pwqlsut,7,128
adrzrdj,7,81
fpcnmau,7,74
bnmkmjm,7,76
kjb,3,23
gho,3,30
vkxjxigb,8,109
yklhzy,6,107
rzlevkae,8,100
bkekbxtlyh,10,120
agskwpcqz,9,123
nnnm,4,55
iivgjtmyjb,10,127
rntv,4,74
rvgqk,5,75
bti,3,31
jwokwo,6,97
qoxwqy,6,121
esccog,6,52
nxmg,4,58
mlpoyrtud,9,144
jcmznjf,7,82
blfifon,7,64
basni,5,45
bdfkxlhwek,10,106
lll,3,36
tmcfk,5,53
rhvqugrvbb,10,137
xbxuczryd,9,147
oafpwapfdm,10,101
ahyehyhu,8,101
gnaajtuf,8,80
oufwij,6,84
gelh,4,32
vrhscigry,9,129
hpntys,6,102
wsvnzpt,7,140
iqaca,5,31
quxygbhc,8,107
suici,5,61
uoo,3,51
ddyfz,5,65
jgzsrtnlo,9,141
zrxxd,5,96
quhhsqrdo,9,127
nxsk,4,68
htqhgczn,8,103
shbl,4,41
aqywoiz,7,116
hqormu,6,92
ludv,4,59
bbiwlblhpy,10,111
tbj,3,32
kbbli,5,36
huztcxmozc,10,159
vgsggie,7,76
jmrz,4,67
iqrnrq,6,93
hqkursit,8,123
aghl,4,28
aql,3,30
priyki,6,88
yiglckm,7,80
exec,4,37
piabjwiefy,10,106
dlzmtpnp,8,121
dicl,4,28
tskfcwwad,9,110
awfecmgr,8,76
iratzwwv,8,142
eibapxcc,8,63
mtwvnvxxa,9,163
vjsfqr,6,92
camb,4,19
esko,4,50
exlcj,5,54
xuxcg,5,79
wdqzbw,6,95
cxiqkzoitw,10,157
jczhfatl,8,86
cvljk,5,58
hee,3,18
savoofb,7,80
xfmyd,5,72
jrkwoeq,7,99
qrcbapuf,8,84
ndfqjfwphp,10,120
qniakpfp,8,90
cuk,3,35
xnjz,4,74
yzevkeu,7,115
eqblsg,6,62
glmdgcnjs,9,89
jvphbh,6,66
gnvhifttsr,10,143
paeulqsb,8,93
liybrcoz,8,110
bubhhycz,8,95
uydeaktxl,9,123
rhomk,5,65
dxktex,6,88
egt,3,32
ekcuodmuq,9,110
ttz,3,66
cawch,5,38
veniozoci,9,118
meermkcex,9,97
piamcu,6,63
pien,4,44
jdafcbwkaq,10,78
bdk,3,17
wsh,3,50
zvv,3,70
ddsjbcf,7,48
lyxu,4,82
keumhtn,7,92
zpx,3,66
fjah,4,25
rxzgkuz,7,133
doiqotdze,9,115
doo,3,34
ezsmptxj,8,133
fkumi,5,60
svdjtndhsa,10,121
opxncrd,7,94
ysppcyqtx,9,165
tcikoquy,8,121
oip,3,40
hagmri,6,56
cattkko,7,81
mfz,3,45
vkxcyaw,7,109
rvgu,4,68
qhf,3,31
dwkgldyb,8,88
ylzubiulm,9,141
jnqqtzf,7,110
hthhbimg,8,75
tfibbniygv,10,116
kkssshwcbe,10,120
rhxyp,5,91
xqgfa,5,55
wdtg,4,54
licfom,6,58
vivzrtmwp,9,169
etth,4,53
mdpbx,5,59
przrwmag,8,122
qzqiehhpbo,10,123
qkpybhmbx,9,118
mauckief,8,69
fmddk,5,38
nrjsuxa,7,107
pzwonvtw,8,159
gjqqigjcdo,10,99
inyhfakcjv,10,109
anoo,4,45
uxsaade,7,75
hwzp,4,73
vljuszw,7,133
ijpkttlf,8,104
wqhgcchs,8,88
txzh,4,78
zwayjy,6,110
ntho,4,57
hytri,5,80
tfiw,4,58
ere,3,28
wdwakgkzbx,10,132
dhbmh,5,35
ktclu,5,67
kpvogx,6,95
fjjmsux,7,103
uuxal,5,79
nbifz,5,57
pzzgkuw,7,130
vmqyzc,6,106
ulmuclfxmt,10,145
scsglldvjy,10,133
opdylamwd,9,113
wlxxcdlnj,9,126
rhnmmwwbfo,10,135
znkx,4,75
pojk,4,52
njhb,4,34
mqmgx,5,74
mwckc,5,53
amsagouiqn,10,117
vyu,3,68
jxg,3,41
fvtr,4,66
nyquyitum,9,165
qhkny,5,75
zzzqnhlu,8,150
fjxkhzj,7,95
ghoo,4,45
lcxemjoazz,10,135
eaoc,4,24
jryxxh,6,109
mcldju,6,63
jsuwjjhht,9,129
jxxa,4,59
vxtli,5,87
gbfi,4,24
icuh,4,41
zwqg,4,73
lnwnhhzbkd,10,122
dno,3,33
btf,3,28
vcpo,4,56
rgg,3,32
tjlmgltum,9,128
uabkckz,7,75
ilsljmuz,8,122
mpc,3,32
zylpbr,6,99
cnisfo,6,66
jjitrxz,7,117
ryixisn,7,118
gopbwq,6,80
dgxg,4,42
pfrcfzt,7,95
uicthroqb,9,113
xcqljpzn,8,122
oitlwv,6,101
zlb,3,40
kjgyon,6,82
oljajflhun,10,109
uxaicth,7,86
qxgq,4,65
rbwmzrxjtq,10,171
wep,3,44
miy,3,47
skerkryrb,9,127
rfmjlytgke,10,127
qenfk,5,53
qyxvyud,7,138
lodisvzlzz,10,171
oho,3,38
pjmtqvy,7,123
syntyjj,7,123
attrcxu,7,107
hmitmswouy,10,166
vgxfqbxcy,9,130
jfjzcvuoy,9,138
nkaehzzi,8,100
jvawtwnep,9,134
utmau,5,76
pltycvaxfd,10,133
uqdh,4,50
fsfjcgc,7,54
emsxjevas,9,118
hfshq,5,58
bmzanne,7,75
cxgdyrxgwb,10,137
whbhmq,6,71
fnkvvkzkwr,10,164
npnufjab,8,84
mndiqvb,7,81
mdnflmz,7,88
gfowyvhot,9,141
mpjahn,6,62
zpwm,4,78
jysuyvziem,10,175
lilrytt,7,116
nrlx,4,68
rhngr,5,65
rdxrux,6,109
dbbmv,5,43
cqexbnfusc,10,114
umjybphl,8,107
gjabtkeq,8,73
gjbuixfmo,9,107
cazsuaudxx,10,144
horyea,6,72
xwliitwbkw,10,156
egibaexowq,10,108
krdayse,7,83
lax,3,37
lmgtviorq,9,133
smjrowu,7,119
rkglggb,7,64
jrcneztwtn,10,153
uhaojmz,7,94
zxv,3,72
fmv,3,41
xaeq,4,47
nfvvk,5,75
ngeexchn,8,80
ghysaeuwl,9,121
bnykrq,6,87
dztkhwgwxh,10,154
bjxhgxwxh,9,130
tjorc,5,66
ybscjxnqtd,10,138
vnqkpsyfq,9,147
nmwjxrljv,9,146
dxhrjjf,7,80
eaeflppkdw,10,99
lntoj,5,71
etphzk,6,86
aeoiuxfvw,9,126
enp,3,35
nzzhdnjtnr,10,154
nlfqcaopl,9,96
lemeiictb,9,78
mytbbviz,8,119
ghuqyltr,8,128
tdtivn,6,89
aqyhnmo,7,93
srvipuqc,8,125
bprm,4,49
sjudqh,6,79
babmw,5,41
trjg,4,55
maty,4,59
lhlju,5,63
cltspctm,8,106
npprnkmka,9,114
ponnrsmgn,9,130
lfsycp,6,81
fuicmvix,8,107
xvwnyqbgjf,10,150
setuum,6,99
dmykzon,7,108
qls,3,48
afokjm,6,56
ozdcarkrg,9,103
hxywgfkvw,9,149
tcyiafp,7,80
smgypi,6,89
xcfevqy,7,102
rcpkgvg,7,84
zad,3,31
sdvdkhc,7,71
odapjm,6,59
iom,3,37
jewxbrkzj,9,129
wufjymrhb,9,126
yhdctrs,7,97
ipdnfiper,9,97
hpf,3,30
ybtvb,5,71
rzx,3,68
zrplmc,6,88
gfx,3,37
wsnf,4,62
osjrd,5,66
oecxu,5,68
wjsi,4,61
zavolqtd,8,117
gqerp,5,63
vfzfimrerw,10,146
ejwh,4,46
rcrhzu,6,94
ukxsgkyy,8,143
zen,3,45
yjxxvzpom,9,175
oiirkpt,7,98
wpfccd,6,55
sprf,4,59
cxctvhnhta,10,123
jawz,4,60
susz,4,85
mbkbfox,7,73
lzhaaa,6,49
wsliwkcx,8,124
spmhgojc,8,91
chmojs,6,68
vfabhmcr,8,73
vjmjzdltab,10,120
lupufnaur,9,130
qspmpimy,8,128
jxesvrdish,10,138
syazvmf,7,112
yvaaqzdjf,9,112
kyfern,6,79
ifbrbztkbp,10,112
xitljllty,9,144
fnukxswt,8,138
hwz,3,57
uheqoka,7,78
oesff,5,51
ziigvhv,7,103
vdrhkrvp,8,119
vgptcdepz,9,119
gekq,4,40
mwpbidtxse,10,135
dqvkufwro,9,137
lnouni,6,85
fvuqghizf,9,122
vcrbcf,6,54
qyarfawbv,9,115
nyrpd,5,77
geg,3,19
tjiipxqsjn,10,148
xlupljpje,9,126
qtoqycpo,8,128
rqgvk,5,75
ivcykk,6,81
plabn,5,45
xlvvu,5,101
hhhpbbr,7,62
acwvpbxfnl,10,123
whjnmrnwni,10,146
axjzg,5,68
kylu,4,69
sys,3,63
fofjfzsw,8,111
lmtwn,5,82
gorsr,5,77
xtnkfrgfam,10,120
zupq,4,80
fxchcfvali,10,94
jmpxkioza,9,125
kavligvo,8,99
axsdv,5,70
mejzyugkp,9,134
zgt,3,53
mwymdli,7,99
vjpaek,6,65
vhi,3,39
cpw,3,42
exlbs,5,62
fzpyae,6,79
dksbxl,6,72
xpzhfyw,7,128
cpqkxplgbz,10,134
xhzrs,5,95
lajard,6,46
ybzsacods,9,114
toeauc,6,65
kobfdji,7,57
qfcajdr,7,59
jsalc,5,45
kevehcc,7,57
idvgneukr,9,111
vyndwck,7,102
tzb,3,48
uhdfry,6,82
bidgp,5,38
xzi,3,59
fswx,4,72
rnw,3,55
abzqyjvaf,9,110
detmy,5,67
ene,3,24
sevvk,5,79
phlixvhn,8,113
